IATA,Airport,Location
AUY,Anatom Airport,"Anatom Island, Tafea, Vanuatu"
AUZ,Aurora Municipal Airport (FAA: ARR),"Aurora, Illinois, United States"
AVA,Anshun Huangguoshu Airport,"Anshun, Guizhou, China"
AVB,Aviano Air Base,"Aviano, Pordenone, Italy"
AVG,Auvergne Airport,"Auvergne Station, Northern Territory, Australia"
AVI,Máximo Gómez Airport,"Ciego de Ávila, Cuba"
AVK,Arvaikheer Airport,"Arvaikheer, Mongolia"
AVL,Asheville Regional Airport,"Asheville, North Carolina, United States"
AVN,Avignon – Provence Airport,"Avignon, Provence-Alpes-Côte d'Azur, France"
AVO,Avon Park Executive Airport,"Avon Park, Florida, United States"
AVP,Wilkes-Barre/Scranton International Airport,"Wilkes-Barre / Scranton, Pennsylvania, United States"
AVU,Avu Avu Airport,"Avu Avu, Guadalcanal, Solomon Islands"
AVV,Avalon Airport,"Avalon, Victoria, Australia"
AVW,Marana Regional Airport (FAA: AVQ),"Tucson, Arizona, United States"
AVX,Catalina Airport,"Avalon, California, United States"
AWA,Awasa Airport,"Awasa, Ethiopia"
AWB,Awaba Airport,"Awaba, Papua New Guinea"
AWD,Aniwa Airport,"Aniwa Island, Tafea, Vanuatu"
AWE,Alowe Airport,"Alowe, Gabon"
AWK,Wake Island Airfield,"Wake Island, United States Minor Outlying Islands"
AWM,West Memphis Municipal Airport,"West Memphis, Arkansas, United States"
AWN,Alton Downs Airport,"Alton Downs, South Australia, Australia"
AWP,Austral Downs Airport,"Austral Downs, Northern Territory, Australia"
AWR,Awar Airport,"Awar, Papua New Guinea"
AWZ,Ahvaz International Airport,"Ahvaz, Iran"
AXA,Clayton J. Lloyd International Airport,"The Valley, British Overseas Territory of Anguilla"
AXB,Maxson Airfield (FAA: 89N),"Alexandria Bay, New York, United States"
AXC,Aramac Airport,"Aramac, Queensland, Australia"
AXD,Alexandroupoli Airport (Dimokritos Airport),"Alexandroupoli, Greece"
AXE,Xanxere Airport,"Xanxerê, Santa Catarina, Brazil"
AXF,Alxa Left Banner Bayanhot Airport,"Alxa Left Banner, Inner Mongolia, China"
AXG,Algona Municipal Airport (FAA: AXA),"Algona, Iowa, United States"
AXJ,Amakusa Airfield,"Amakusa, Amakusa Islands, Japan"
AXK,Ataq Airport,"Ataq, Yemen"
AXL,Alexandria Airport,"Alexandria Station, Northern Territory, Australia"
AXM,El Edén International Airport,"Armenia, Colombia"
AXN,Alexandria Municipal Airport (Chandler Field),"Alexandria, Minnesota, United States"
AXP,Spring Point Airport,"Spring Point, Acklins Island, Bahamas"
AXR,Arutua Airport,"Arutua, Tuamotus, French Polynesia"
AXS,Altus/Quartz Mountain Regional Airport,"Altus, Oklahoma, United States"
AXT,Akita Airport,"Akita, Honshu, Japan"
AXU,Axum Airport,"Axum, Ethiopia"
AXV,Neil Armstrong Airport,"Wapakoneta, Ohio, United States"
AXX,Angel Fire Airport,"Angel Fire, New Mexico, United States"
AYA,Ayapel Airport,"Ayapel, Colombia"
AYC,Ayacucho Airport,"Ayacucho, Colombia"
AYD,Alroy Downs Airport,"Alroy Downs, Northern Territory, Australia"
AYG,Yaguara Airport,"Yaguara, Colombia"
AYI,Yari Airport,"Yari, Colombia"
AYK,Arkalyk Airport,"Arkalyk, Kazakhstan"
AYL,Anthony Lagoon Airport,"Anthony Lagoon, Northern Territory, Australia"
AYM,Yas Island Seaplane Base,"Yas Island, Abu Dhabi, United Arab Emirates"
AYN,Anyang Airport,"Anyang, Henan, China"
AYO,Juan de Ayolas Airport,"Ayolas, Paraguay"
AYP,Coronel FAP Alfredo Mendívil Duarte Airport,"Ayacucho, Peru"
AYQ,Ayers Rock Airport,"Yulara, Northern Territory, Australia"
AYR,Ayr Airport,"Ayr, Queensland, Australia"
AYS,Waycross–Ware County Airport,"Waycross, Georgia, United States"
AYT,Antalya Airport,"Antalya, Turkey"
AYU,Aiyura Airport,"Aiyura, Papua New Guinea"
AYW,Ayawasi Airport,"Ayawasi, Indonesia"
AYY,Arugam Bay Seaplane Base,"Pottuvil, Sri Lanka"
AZA,Phoenix–Mesa Gateway Airport (FAA: IWA),"Phoenix, Arizona, United States"
AZB,Amazon Bay Airport,"Amazon Bay, Papua New Guinea"
AZD,Shahid Sadooghi Airport,"Yazd, Iran"
AZG,Pablo L. Sidar Airport,"Apatzingán, Michoacán, Mexico"
AZI,Al Bateen Executive Airport,"Abu Dhabi, United Arab Emirates"
AZL,Fazenda Tucunaré Airport,"Sapezal, Mato Grosso, Brazil"
AZN,Andizhan Airport,"Andizhan, Uzbekistan"
AZO,Kalamazoo/Battle Creek International Airport,"Kalamazoo, Michigan, United States"
AZP,Jorge Jiménez Cantú National Airport,"Ciudad López Mateos, State of Mexico, Mexico"
AZR,Touat-Cheikh Sidi Mohamed Belkebir Airport,"Adrar, Algeria"
AZS,Samaná El Catey International Airport,"El Catey, Dominican Republic"
AZT,Zapatoca Airport,"Zapatoca, Colombia"
AZZ,Ambriz Airport,"Ambriz, Angola"
BAA,Bialla Airport,"Bialla, Papua New Guinea"
BAB,Beale Air Force Base,"Marysville, California, United States"
BAC,Barranca de Upia Airport,"Barranca de Upía, Colombia"
BAD,Barksdale Air Force Base,"Bossier City, Louisiana, United States"
BAE,Barcelonnette – Saint-Pons Airport,"Barcelonnette, Alpes-de-Haute-Provence, France"
BAF,Westfield-Barnes Regional Airport,"Westfield / Springfield, Massachusetts, United States"
BAG,Loakan Airport,"Baguio, Philippines"
BAH,Bahrain International Airport,"Manama, Bahrain"
BAI,Buenos Aires Airport,"Buenos Aires, Costa Rica"
BAJ,Bali Airport,"Bali, Papua New Guinea"
BAK[1],metropolitan area2,"Baku, Azerbaijan"
BAL,Batman Airport,"Batman, Turkey"
BAM,Battle Mountain Airport (Lander County Airport),"Battle Mountain, Nevada, United States"
BAN,Basongo Airport,"Basongo, Democratic Republic of the Congo"
BAP,Baibara Airport,"Baibara, Papua New Guinea"
BAQ,Ernesto Cortissoz International Airport,"Barranquilla, Colombia"
BAR,Qionghai Bo'ao Airport,"Qionghai, Hainan, China"
BAS,Balalae Airport,"Balalae Island, Western, Solomon Islands"
BAT,Chafei Amsei Airport,"Barretos, São Paulo, Brazil"
BAV,Baotou Airport,"Baotou, Inner Mongolia, China"
BAW,Biawonque Airport,"Biawonque, Gabon"
BAX,Barnaul Airport,"Barnaul, Altai Krai, Russia"
BAY,Baia Mare Airport,"Baia Mare, Romania"
BAZ,Barcelos Airport,"Barcelos, Amazonas, Brazil"
BBA,Balmaceda Airport,"Balmaceda, Chile"
BBB,Benson Municipal Airport,"Benson, Minnesota, United States"
BBC,Bay City Municipal Airport (FAA: BYY),"Bay City, Texas, United States"
BBD,Curtis Field,"Brady, Texas, United States"
BBG,Butaritari Atoll Airport,"Butaritari Atoll, Kiribati"
BBH,Stralsund–Barth Airport,"Stralsund / Barth, Mecklenburg-Vorpommern, Germany"
BBI,Biju Patnaik International Airport,"Bhubaneswar, Odisha, India"
BBJ,Bitburg Airport (former Bitburg Air Base),"Bitburg, Rhineland-Palatinate, Germany"
BBK,Kasane Airport,"Kasane, Botswana"
BBL,Ballera Airport,"Ballera, Queensland, Australia"
BBM,Battambang Airport,"Battambang, Cambodia"
BBN,Bario Airport,"Bario, Sarawak, Malaysia"
BBO,Berbera Airport,"Berbera, Somalia"
BBP,Bembridge Airport,"Bembridge, England, United Kingdom"
BBQ,Barbuda Codrington Airport,"Barbuda, Antigua and Barbuda"
BBR,Baillif Airport,"Basse-Terre, Guadeloupe"
BBS,Blackbushe Airport,"Yateley, England, United Kingdom"
BBT,Berbérati Airport,"Berbérati, Central African Republic"
BBU,Aurel Vlaicu International Airport (Baneasa Airport),"Bucharest, Romania"
BBV,Nero-Mer Airport,"Grand-Béréby, Ivory Coast"
BBW,Broken Bow Municipal Airport,"Broken Bow, Nebraska, United States"
BBX,Wings Field (FAA: LOM),"Philadelphia, Pennsylvania, United States"
BBY,Bambari Airport,"Bambari, Central African Republic"
BBZ,Zambezi Airport,"Zambezi, Zambia"
BCA,Gustavo Rizo Airport,"Baracoa, Cuba"
BCB,Virginia Tech Montgomery Executive Airport,"Blacksburg, Virginia, United States"
BCC,Bear Creek 3 Airport (FAA: Z48),"Bear Creek, Alaska, United States"
BCD,Bacolod–Silay International Airport,"Bacolod, Philippines"
BCE,Bryce Canyon Airport,"Bryce Canyon, Utah, United States"
BCF,Bouca Airport,"Bouca, Central African Republic"
BCG,Bemichi Airport,"Kumaka, Guyana"
BCH,Baucau Airport,"Baucau, East Timor"
BCI,Barcaldine Airport,"Barcaldine, Queensland, Australia"
BCK,Bolwarra Airport,"Bolwarra, Queensland, Australia"
BCL,Barra del Colorado Airport,"Barra del Colorado, Costa Rica"
BCM,Bacau International Airport,"Bacau, Romania"
BCN,Barcelona–El Prat Airport,"Barcelona, Catalonia, Spain"
BCO,Baco Airport (Jinka Airport),"Jinka, Ethiopia"
BCP,Bambu Airport,"Bambu, Papua New Guinea"
BCQ,Brak Airport,"Brak, Libya"
BCR,Novo Campo Airport,"Boca do Acre, Amazonas, Brazil"
BCS,Southern Seaplane Airport (FAA: 65LA),"Belle Chasse, Louisiana, United States"
BCT,Boca Raton Airport,"Boca Raton, Florida, United States"
BCU,Bauchi State Airport,"Bauchi, Nigeria"
BCV,Hector Silva Airstrip,"Belmopan, Belize"
BCW,Benguerra Island Airport,"Benguerra Island, Mozambique"
BCX,Beloretsk Airport,"Beloretsk, Republic of Bashkortostan, Russia"
BCY,Bulchi Airport,"Bulchi, Ethiopia"
BCZ,Bickerton Island Airport,"Bickerton Island, Northern Territory, Australia"
BDA,L.F. Wade International Airport,"Hamilton, British Overseas Territory of Bermuda"
BDB,Bundaberg Airport,"Bundaberg, Queensland, Australia"
BDC,Barra do Corda Airport,"Barra do Corda, Maranhão, Brazil"
BDD,Badu Island Airport,"Badu Island, Queensland, Australia"
BDE,Baudette International Airport,"Baudette, Minnesota, United States"
BDF,Rinkenberger RLA Airport (FAA: 3IS8),"Bradford, Illinois, United States"
BDG,Blanding Municipal Airport,"Blanding, Utah, United States"
BDH,Bandar Lengeh Airport,"Bandar Lengeh, Iran"
BDI,Bird Island Airport,"Bird Island, Seychelles"
BDJ,Syamsudin Noor Airport,"Banjarmasin, Indonesia"
BDK,Soko Airport,"Bondoukou, Ivory Coast"
BDL,Bradley International Airport,"Windsor Locks / Hartford, Connecticut, United States"
BDM,Bandirma Airport,"Bandirma, Turkey"
BDN,Talhar Airport,"Badin, Pakistan"
BDO,Husein Sastranegara International Airport,"Bandung, Indonesia"
BDP,Bhadrapur Airport (Chandragadhi Airport),"Bhadrapur / Chandragadhi, Nepal"
BDQ,Vadodara Airport (Civil Airport Harni),"Vadodara, Gujarat, India"
BDR,Igor I. Sikorsky Memorial Airport,"Bridgeport, Connecticut, United States"
BDS,Brindisi – Salento Airport,"Brindisi, Apulia, Italy"
BDT,Gbadolite Airport,"Gbadolite, Democratic Republic of the Congo"
BDU,Bardufoss Airport,"Bardufoss, Norway"
BDV,Moba Airport,"Moba, Democratic Republic of the Congo"
BDW,Bedford Downs Airport,"Bedford Downs, Western Australia, Australia"
BDX,Broadus Airport,"Broadus, Montana, United States"
BDY,Bandon State Airport (FAA: S05),"Bandon, Oregon, United States"
BDZ,Baindoung Airport,"Baindoung, Papua New Guinea"
BEA,Bereina Airport,"Bereina, Papua New Guinea"
BEB,Benbecula Airport,"Benbecula, Scotland, United Kingdom"
BEC,Beech Factory Airport,"Wichita, Kansas, United States"
BED,Laurence G. Hanscom Field,"Bedford, Massachusetts, United States"
BEE,Beagle Bay Airport,"Beagle Bay, Western Australia, Australia"
BEF,Bluefields Airport,"Bluefields, Nicaragua"
BEG,Belgrade Nikola Tesla Airport,"Belgrade, Serbia"
BEH,Southwest Michigan Regional Airport,"Benton Harbor, Michigan, United States"
BEI,Beica Airport,"Beica, Ethiopia"
BEJ,Kalimarau Airport,"Tanjung Redeb, Indonesia"
BEK,Bareilly Airport,"Bareilly, Uttar Pradesh, India"
BEL,Val de Cans International Airport,"Belém, Pará, Brazil"
BEM,Beni Mellal Airport,"Beni Mellal, Morocco"
BEN,Benina International Airport,"Benghazi, Libya"
BEO,Lake Macquarie Airport (Belmont Airport),"Newcastle, New South Wales, Australia"
BEP,Bellary Airport,"Bellary, Karnataka, India"
BEQ,RAF Honington,"Bury St Edmunds, England, United Kingdom"
BER,Berlin Brandenburg Airport (in construction),"Berlin, Germany"
BES,Brest Bretagne Airport,"Brest, Brittany, France"
BET,Bethel Airport,"Bethel, Alaska, United States"
BEU,Bedourie Airport,"Bedourie, Queensland, Australia"
BEV,Beersheba Airport,"Beersheba, Israel"
BEW,Beira Airport,"Beira, Mozambique"
BEX,RAF Benson,"Benson, England, United Kingdom"
BEY,Beirut–Rafic Hariri International Airport / Beirut Air Base,"Beirut, Lebanon"
BEZ,Beru Island Airport,"Beru Island, Kiribati"
BFA[1],Bahía Negra Airport,"Bahía Negra, Paraguay"
BFC,Bloomfield Airport,"Bloomfield, Queensland, Australia"
BFD,Bradford Regional Airport,"Bradford, Pennsylvania, United States"
BFE,Bielefeld Airport,"Bielefeld, North Rhine-Westphalia, Germany"
BFF,Western Nebraska Regional Airport (William B. Heilig Field),"Scottsbluff, Nebraska, United States"
BFG,Bullfrog Basin Airport (FAA: U07),"Glen Canyon, Utah, United States"
BFH,Bacacheri Airport,"Curitiba, Paraná, Brazil"
BFI,Boeing Field/King County International Airport,"Seattle, Washington, United States"
BFJ,Bijie Feixiong Airport,"Bijie, Guizhou, China"
BFK,Buckley Air Force Base,"Aurora, Colorado, United States"
BFL,Meadows Field Airport,"Bakersfield, California, United States"
BFM,Mobile Downtown Airport,"Mobile, Alabama, United States"
BFN,Bloemfontein Airport,"Bloemfontein, South Africa"
BFO,Buffalo Range Airport,"Chiredzi, Zimbabwe"
BFP,Beaver County Airport (FAA: BVI),"Beaver Falls, Pennsylvania, United States"
BFQ,Bahía Piña Airport,"Puerto Piña, Panama"
BFR,Virgil I. Grissom Municipal Airport,"Bedford, Indiana, United States"
BFS,Belfast International Airport,"Belfast, Northern Ireland, United Kingdom"
BFT,Beaufort County Airport (FAA: ARW),"Beaufort County, South Carolina, United States"
BFU,Bengbu Airport,"Bengbu, Anhui, China"
BFV,Buriram Airport,"Buriram, Thailand"
BFW,Sidi Bel Abbès Airport,"Sidi Bel Abbès, Algeria"
BFX,Bafoussam Airport,"Bafoussam, Cameroon"
BGA,Palonegro International Airport,"Bucaramanga, Colombia"
BGB,Booué Airport,"Booué, Gabon"
BGC,Bragança Airport,"Bragança, Portugal"
BGD,Hutchinson County Airport,"Borger, Texas, United States"
BGE,Decatur County Industrial Air Park,"Bainbridge, Georgia, United States"
BGF,Bangui M'Poko International Airport,"Bangui, Central African Republic"
BGG,Bingöl Airport,"Bingöl, Turkey"
BGH,Abbaye Airport,"Bogué, Mauritania"
BGI,Grantley Adams International Airport,"Bridgetown, Barbados"
BGJ,Borgarfjörður Eystri Airport,"Borgarfjörður Eystri, Iceland"
BGK,Big Creek Airport,"Big Creek, Belize"
BGL,Balewa Airport,"Baglung, Nepal"
BGM,Greater Binghamton Airport (Edwin A. Link Field),"Binghamton, New York, United States"
BGN,Belaya Gora Airport,"Belaya Gora, Yakutia, Russia"
BGO,"Bergen Airport, Flesland","Bergen, Norway"
BGP,Bongo Airport,"Bongo, Gabon"
BGQ,Big Lake Airport,"Big Lake, Alaska, United States"
BGR,Bangor International Airport,"Bangor, Maine, United States"
BGT,Bagdad Airport (FAA: E51),"Bagdad, Arizona, United States"
BGU,Bangassou Airport,"Bangassou, Central African Republic"
BGV,Bento Gonçalves Airport,"Bento Gonçalves, Rio Grande do Sul, Brazil"
BGW,Baghdad International Airport,"Baghdad, Iraq"
BGX,Comandante Gustavo Kraemer Airport,"Bagé, Rio Grande do Sul, Brazil"
BGY,Il Caravaggio International Airport (Orio al Serio Airport),"Milan / Bergamo, Lombardy, Italy"
BGZ,Braga Airport,"Braga, Portugal"
BHA,Los Perales Airport,"Bahía de Caráquez, Ecuador"
BHB,Hancock County-Bar Harbor Airport,"Bar Harbor, Maine, United States"
BHD,George Best Belfast City Airport,"Belfast, Northern Ireland, United Kingdom"
BHE,Woodbourne Airport,"Blenheim, New Zealand"
BHF,Bahía Cupica Airport,"Bahía Cupica, Colombia"
BHG,Brus Laguna Airport,"Brus Laguna, Honduras"
BHH,Bisha Domestic Airport,"Bisha, Saudi Arabia"
BHI,Comandante Espora Airport,"Bahía Blanca, Buenos Aires, Argentina"
BHJ,Bhuj Airport / Bhuj Rudra Mata Air Force Base,"Bhuj, Gujarat, India"
BHK,Bukhara International Airport,"Bukhara, Uzbekistan"
BHL,Bahía de los Ángeles Airport,"Bahía de los Ángeles, Baja California, Mexico"
BHM,Birmingham–Shuttlesworth International Airport,"Birmingham, Alabama, United States"
BHN,Beihan Airport,"Beihan, Yemen"
BHO,Raja Bhoj Airport,"Bhopal, Madhya Pradesh, India"
BHP,Bhojpur Airport,"Bhojpur, Nepal"
BHQ,Broken Hill Airport,"Broken Hill, New South Wales, Australia"
BHR,Bharatpur Airport,"Bharatpur, Nepal"
BHS,Bathurst Airport,"Bathurst, New South Wales, Australia"
BHT,Brighton Downs Airport,"Brighton Downs, Queensland, Australia"
BHU,Bhavnagar Airport,"Bhavnagar, Gujarat, India"
BHV,Bahawalpur Airport,"Bahawalpur, Pakistan"
BHW,Bhagatanwala Airport,"Sargodha, Pakistan"
BHX,Birmingham Airport,"Birmingham, England, United Kingdom"
BHY,Beihai Fucheng Airport,"Beihai, Guangxi, China"
BHZ[1],metropolitan area3,"Belo Horizonte, Minas Gerais, Brazil"
BIA,Bastia – Poretta Airport,"Bastia, Corsica, France"
BIB,Baidoa Airport,"Baidoa, Somalia"
BID,Block Island State Airport,"Block Island, Rhode Island, United States"
BIE,Beatrice Municipal Airport,"Beatrice, Nebraska, United States"
BIF,Biggs Army Airfield,"El Paso, Texas, United States"
BIG,Allen Army Airfield,"Delta Junction, Alaska, United States"
BIH,Eastern Sierra Regional Airport,"Bishop, California, United States"
BII,Bikini Atoll Airport,"Bikini Atoll, Marshall Islands"
BIJ,Biliau Airport,"Biliau, Papua New Guinea"
BIK,Frans Kaisiepo Airport,"Biak, Indonesia"
BIL,Billings Logan International Airport,"Billings, Montana, United States"
BIM,South Bimini Airport,"Bimini, Bahamas"
BIN,Bamyan Airport,"Bamyan, Afghanistan"
BIO,Bilbao Airport,"Bilbao, Basque Country, Spain"
BIP,Bulimba Airport,"Bulimba, Queensland, Australia"
BIQ,Biarritz Pays Basque Airport,"Biarritz, Aquitaine, France"
BIR,Biratnagar Airport,"Biratnagar, Nepal"
BIS,Bismarck Municipal Airport,"Bismarck, North Dakota, United States"
BIT,Baitadi Airport,"Baitadi, Nepal"
BIU,Bíldudalur Airport,"Bíldudalur, Iceland"
BIV,Bria Airport,"Bria, Central African Republic"
BIW,Billiluna Airport,"Billiluna, Western Australia, Australia"
BIX,Keesler Air Force Base,"Biloxi, Mississippi, United States"
BIY,Bhisho Airport,"Bhisho, South Africa"
BIZ,Bimin Airport,"Bimin, Papua New Guinea"
BJA,Soummam – Abane Ramdane Airport,"Béjaïa, Algeria"
BJB,Bojnord Airport,"Bojnord, Iran"
BJC,Rocky Mountain Metropolitan Airport,"Denver, Colorado, United States"
BJD,Bakkafjörður Airport,"Bakkafjörður, Iceland"
BJE,Baleela Airport,"Baleela, Sudan"
BJF,Båtsfjord Airport,"Båtsfjord, Norway"
BJG,Kotamobagu Mopait Airport,"Kotamobagu, Indonesia"
BJH,Bajhang Airport,"Bajhang, Nepal"
BJI,Bemidji Regional Airport,"Bemidji, Minnesota, United States"
BJJ,Wayne County Airport,"Wooster, Ohio, United States"
BJK,Benjina Airport (Nangasuri Airport),"Benjina, Indonesia"
BJL,Banjul International Airport,"Banjul, Gambia"
BJM,Bujumbura International Airport,"Bujumbura, Burundi"
BJN,Bajone Airport,"Bajone, Mozambique"
BJO,Bermejo Airport,"Bermejo, Bolivia"
BJP,Arthur Siqueira–Bragança Paulista State Airport,"Bragança Paulista, São Paulo, Brazil"
BJQ,Bahja Airport,"Bahja, Oman"
BJR,Bahir Dar Airport,"Bahir Dar, Ethiopia"
BJS[1],metropolitan area4,"Beijing, China"
BJT,Bentota River Airport,"Bentota, Sri Lanka"
BJU,Bajura Airport,"Bajura, Nepal"
BJV,Milas–Bodrum Airport,"Milas / Bodrum, Turkey"
BJW,Bajawa Soa Airport,"Bajawa, Indonesia"
BJX,Del Bajío International Airport (Guanajuato Int'l Airport),"León, Guanajuato, Mexico"
BJY,Batajnica Air Base,"Batajnica, Serbia"
BJZ,Badajoz Airport (Talavera la Real Air Base),"Badajoz, Extremadura, Spain"
BKA,Bykovo Airport,"Moscow, Russia"
BKB,Nal Airport,"Bikaner, Rajasthan, India"
BKC,Buckland Airport (FAA: BVK),"Buckland, Alaska, United States"
BKD,Stephens County Airport,"Breckenridge, Texas, United States"
BKE,Baker City Municipal Airport,"Baker City, Oregon, United States"
BKF,Lake Brooks Seaplane Base,"Brooks Camp, Alaska, United States"
BKG,Branson Airport (FAA: BBG),"Branson, Missouri, United States"
BKH,Barking Sands PMRF,"Kekaha, Hawaii, United States"
BKI,Kota Kinabalu International Airport,"Kota Kinabalu, Sabah, Malaysia"
